"lat","long","radius","search.twitter.entry","number.of.tweets"
38.7271577570408,-87.5107170666369,"100mi","38.7271577570408,-87.5107170666369,100mi",1000
36.5369625454217,-80.9448482822666,"100mi","36.5369625454217,-80.9448482822666,100mi",1000
34.8468152920777,-102.27838372289,"100mi","34.8468152920777,-102.27838372289,100mi",1000
30.6024411463835,-96.134250594927,"100mi","30.6024411463835,-96.134250594927,100mi",1000
34.3230557947281,-84.120783036852,"100mi","34.3230557947281,-84.120783036852,100mi",1000
48.649560293539,-110.137827730233,"100mi","48.649560293539,-110.137827730233,100mi",966
42.0738700688636,-95.1556270673119,"100mi","42.0738700688636,-95.1556270673119,100mi",1000
32.1512078752918,-83.9968332350828,"100mi","32.1512078752918,-83.9968332350828,100mi",1000
40.7216068953874,-119.486382810853,"100mi","40.7216068953874,-119.486382810853,100mi",1000
45.0888424072929,-69.8326343423554,"100mi","45.0888424072929,-69.8326343423554,100mi",1000
32.8526410929475,-80.4306132707775,"100mi","32.8526410929475,-80.4306132707775,100mi",1000
27.6109797224564,-97.719066385008,"100mi","27.6109797224564,-97.719066385008,100mi",1000
36.2319738175251,-83.3416474295091,"100mi","36.2319738175251,-83.3416474295091,100mi",1000
32.0509805990374,-94.3964547322327,"100mi","32.0509805990374,-94.3964547322327,100mi",1000
44.7773305676563,-112.691625562145,"100mi","44.7773305676563,-112.691625562145,100mi",381
29.6858526053239,-97.2041873575011,"100mi","29.6858526053239,-97.2041873575011,100mi",1000
33.6997219262811,-83.6708683128732,"100mi","33.6997219262811,-83.6708683128732,100mi",1000
46.5786553621008,-101.093899625581,"100mi","46.5786553621008,-101.093899625581,100mi",1000
47.559359052548,-122.726552838905,"100mi","47.559359052548,-122.726552838905,100mi",1000
46.6217933669422,-102.964902591463,"100mi","46.6217933669422,-102.964902591463,100mi",1000
45.229331829528,-103.176801445331,"100mi","45.229331829528,-103.176801445331,100mi",1000
48.959476716969,-124.015848784039,"100mi","48.959476716969,-124.015848784039,100mi",1000
26.715359488777,-82.4354542923055,"100mi","26.715359488777,-82.4354542923055,100mi",1000
48.7218651268983,-100.085635472306,"100mi","48.7218651268983,-100.085635472306,100mi",1000
44.5131169361993,-89.736315542524,"100mi","44.5131169361993,-89.736315542524,100mi",1000
34.1522555490231,-84.9276841310276,"100mi","34.1522555490231,-84.9276841310276,100mi",1000
36.8765029668466,-78.1014047542241,"100mi","36.8765029668466,-78.1014047542241,100mi",1000
43.3844603606654,-96.2166493830119,"100mi","43.3844603606654,-96.2166493830119,100mi",929
47.1906524529091,-104.392645365084,"100mi","47.1906524529091,-104.392645365084,100mi",1000
40.205048480668,-108.828522447306,"100mi","40.205048480668,-108.828522447306,100mi",205
47.8453188884434,-100.854576309719,"100mi","47.8453188884434,-100.854576309719,100mi",748
25.1276378583544,-97.4342662202443,"100mi","25.1276378583544,-97.4342662202443,100mi",429
44.5123638493977,-113.4446512299,"100mi","44.5123638493977,-113.4446512299,100mi",317
43.6632959891464,-123.793498557482,"100mi","43.6632959891464,-123.793498557482,100mi",1000
42.5003719377442,-101.899804350869,"100mi","42.5003719377442,-101.899804350869,100mi",228
40.6621693183799,-121.771746522104,"100mi","40.6621693183799,-121.771746522104,100mi",862
38.3491055872061,-78.6660256206233,"100mi","38.3491055872061,-78.6660256206233,100mi",1000
37.7775017541044,-106.856702620926,"100mi","37.7775017541044,-106.856702620926,100mi",702
45.1183580658125,-124.620562630909,"100mi","45.1183580658125,-124.620562630909,100mi",1000
37.8019311358294,-86.4454086789709,"100mi","37.8019311358294,-86.4454086789709,100mi",1000
45.4412140454575,-67.5783160805239,"100mi","45.4412140454575,-67.5783160805239,100mi",1000
41.5264040374573,-104.742941268683,"100mi","41.5264040374573,-104.742941268683,100mi",1000
43.2018384718643,-113.151227487641,"100mi","43.2018384718643,-113.151227487641,100mi",229
33.3470531224406,-114.919589753225,"100mi","33.3470531224406,-114.919589753225,100mi",1000
48.7219736057245,-100.220566225458,"100mi","48.7219736057245,-100.220566225458,100mi",1000
41.6883496808296,-77.9939299313113,"100mi","41.6883496808296,-77.9939299313113,100mi",1000
39.2549742742346,-75.0026977032929,"100mi","39.2549742742346,-75.0026977032929,100mi",1000
40.3973710114231,-106.88009618762,"100mi","40.3973710114231,-106.88009618762,100mi",1000
46.1725239448332,-73.6290791826033,"100mi","46.1725239448332,-73.6290791826033,100mi",1000
45.9517304804527,-80.6719224092025,"100mi","45.9517304804527,-80.6719224092025,100mi",218
47.2444834170685,-113.539233112869,"100mi","47.2444834170685,-113.539233112869,100mi",1000
29.7130776088545,-86.4058480755679,"100mi","29.7130776088545,-86.4058480755679,100mi",1000
42.5339955430353,-87.9560723525576,"100mi","42.5339955430353,-87.9560723525576,100mi",1000
44.6616630668627,-96.2941652114866,"100mi","44.6616630668627,-96.2941652114866,100mi",752
36.0787326085318,-81.8353836328873,"100mi","36.0787326085318,-81.8353836328873,100mi",1000
47.4501928318622,-114.271344249789,"100mi","47.4501928318622,-114.271344249789,100mi",1000
31.7076518145841,-83.2832203950943,"100mi","31.7076518145841,-83.2832203950943,100mi",1000
29.7166907149708,-85.7185558334806,"100mi","29.7166907149708,-85.7185558334806,100mi",1000
30.3150905716407,-97.1458859539031,"100mi","30.3150905716407,-97.1458859539031,100mi",1000
33.7279006121541,-101.075564011005,"100mi","33.7279006121541,-101.075564011005,100mi",1000
38.8322183766943,-77.1293789432764,"100mi","38.8322183766943,-77.1293789432764,100mi",1000
33.6182623172573,-108.231784435233,"100mi","33.6182623172573,-108.231784435233,100mi",228
28.5955358599017,-80.3736069893245,"100mi","28.5955358599017,-80.3736069893245,100mi",1000
39.7425217998374,-74.1314531273974,"100mi","39.7425217998374,-74.1314531273974,100mi",1000
32.4769105836646,-115.213801412467,"100mi","32.4769105836646,-115.213801412467,100mi",1000
43.656607897619,-70.6751295475809,"100mi","43.656607897619,-70.6751295475809,100mi",1000
33.4430104914043,-87.9277782153372,"100mi","33.4430104914043,-87.9277782153372,100mi",1000
40.7923854015275,-69.6668035610189,"100mi","40.7923854015275,-69.6668035610189,100mi",1000
35.9709194671277,-79.424877165255,"100mi","35.9709194671277,-79.424877165255,100mi",1000
42.0663748630508,-73.7361508783156,"100mi","42.0663748630508,-73.7361508783156,100mi",1000
25.4448325299448,-106.032496534228,"100mi","25.4448325299448,-106.032496534228,100mi",254
46.0369766467503,-86.8046647317233,"100mi","46.0369766467503,-86.8046647317233,100mi",1000
39.4612443729576,-96.2560698121291,"100mi","39.4612443729576,-96.2560698121291,100mi",1000
35.3890942669974,-103.909129187107,"100mi","35.3890942669974,-103.909129187107,100mi",744
